step,loss,mean_fvu,dead_features,dead_pct,lr,grad_norm,acts_active_frac,decoder_norm_mean,decoder_norm_std
0,151.32058715820312,1.1106350421905518,0,0.0,0.0003,82.5,0.49918755888938904,0.0,0.0
1,151.7242889404297,1.1227285861968994,0,0.0,0.0003,82.5,0.4991597533226013,0.00814363919198513,0.0008193194516934454
2,71951.71875,531.39501953125,0,0.0,0.0003,34048.0,0.5048635601997375,0.9878208041191101,0.09557345509529114
3,70039.8046875,518.6510009765625,0,0.0,0.0003,33280.0,0.4955984354019165,0.9920270442962646,0.07015012949705124
4,68896.0,510.5884704589844,0,0.0,0.0003,33024.0,0.4866606891155243,0.9947061538696289,0.0626649409532547
5,65513.4921875,492.63592529296875,0,0.0,0.0003,31744.0,0.47105783224105835,0.9948515295982361,0.05950896069407463
6,64406.390625,474.73431396484375,0,0.0,0.0003,31744.0,0.4539336562156677,0.9954481720924377,0.055420681834220886
7,62221.4453125,460.87432861328125,0,0.0,0.0003,30976.0,0.43755918741226196,0.9960395097732544,0.052342116832733154
8,60409.515625,444.2286071777344,0,0.0,0.0003,30464.0,0.42130136489868164,0.9958087801933289,0.05044753849506378
9,58027.578125,430.9812927246094,0,0.0,0.0003,29568.0,0.40538695454597473,0.9965556859970093,0.05009252950549126
10,55528.546875,417.2779541015625,0,0.0,0.0003,28672.0,0.38978949189186096,0.996234655380249,0.048715297132730484
11,54832.8984375,402.814697265625,0,0.0,0.0003,28672.0,0.37500643730163574,0.9964199662208557,0.047540318220853806
12,52545.33984375,390.86199951171875,0,0.0,0.0003,27776.0,0.3612043559551239,0.9968510270118713,0.04674915969371796
13,51136.9765625,378.62066650390625,0,0.0,0.0003,27392.0,0.3459087014198303,0.9967558979988098,0.04510529711842537
14,49498.83984375,367.0357666015625,0,0.0,0.0003,26752.0,0.3331596553325653,0.9968873858451843,0.04390393942594528
15,48198.3203125,355.56671142578125,0,0.0,0.0003,26368.0,0.3220248818397522,0.9971891641616821,0.043290380388498306
16,46336.234375,345.435791015625,0,0.0,0.0003,25600.0,0.3117326498031616,0.997028112411499,0.04316027835011482
17,45501.6484375,334.8065490722656,0,0.0,0.0003,25344.0,0.303353875875473,0.9971423745155334,0.04277805611491203
18,43793.390625,324.6934814453125,0,0.0,0.0003,24576.0,0.291267991065979,0.9973098039627075,0.04150975123047829
19,42296.8671875,315.60272216796875,0,0.0,0.0003,23936.0,0.28468865156173706,0.99739670753479,0.04032113030552864
20,41450.20703125,306.7153015136719,35,0.0015190972222222222,0.0003,23680.0,0.2764829993247986,0.9974987506866455,0.04005751013755798
21,40202.32421875,296.7028503417969,36,0.0015625,0.0003,23296.0,0.2645167112350464,0.9975183606147766,0.03963970020413399
22,38958.40625,288.7821044921875,35,0.0015190972222222222,0.0003,22784.0,0.26041242480278015,0.9976779818534851,0.03909192606806755
23,37649.84375,280.5199279785156,36,0.0015625,0.0003,22144.0,0.25367704033851624,0.9976325631141663,0.038531094789505005
24,36637.2578125,272.78997802734375,35,0.0015190972222222222,0.0003,21760.0,0.24738796055316925,0.9979450702667236,0.03753289952874184
25,35375.2109375,264.208251953125,39,0.0016927083333333334,0.0003,21120.0,0.24234840273857117,0.9979696869850159,0.03727054223418236
